sentence1,sentence2
Suddenly he realized that he was almost late for work.,He got out of bed thinking it was already hopeless.
Tim had issues with his stomach.,He kept having to use the restroom.
"Before she knew it, she was flying in the sky, dancing through clouds.",A sharp voice snapped Alice back to reality.
Mr Zacker liked the caveman display.,Everyone had fun.
Danny was waiting at the corner to cross the street.,Traffic began to slow.
She and a friend decided to share an order of fries.,They each paid half of the order.
"Then I made my husband taste it first, to be certain it was good.",He tried it and said he loved it.
Her back and legs got achy during the long ride.,When the bus stopped she got out to stretch her legs.
Georgia was expecting a baby any day.,"Finally, she went into labor and rushed to the hospital."
"The vet told them the dog is fine, but allergic to grass!",Now their puppy takes special medicine and is healthy as ever.
Her rich boss was a mean man who preyed on her illegal status.,He would often dock pay for minor infractions from her daily chores.
"However, he still didn't have enough.",He decided to get another job.
The couple had just moved from the mid-west to Phoenix.,They decided to go to an outdoor outlet mall.
But my family brought home lots of Mexican food.,I couldn't resist and dug right in.
Swarthanger took a leisurely stroll down Broad St.,He noticed a man on top of a ledge of a building.
The overdraft fees amounted to hundreds.,He was never able to pay it back.
The prisoner fooled the guards into thinking he was the warden.,The prisoner walked out the front door without any suspicion.
He spent a few days gathering all the hardware.,"A few days before the opening, his fridge died."
His friend knew the man would win.,His friend gave up the game.
He didn't want other kids to pick on him.,He tried to hide it at school.
But his stretching caused the contraption to expand.,"Surprised and very awake, he slipped down into a pile of clothes."
He is always doing kind things for us.,Today I received a package filled with movies.
He asked the doctor for help.,The doctor gave him some cream.
He feared that they would one day bite him.,"One day, Steven visited Florida."
Beth planted many seeds.,Beth is now patiently waiting for the flowers to grow.
The manager fired Cody from his job.,Cody was upset.
My grandma had a special talent.,"When she got mad at me one day, she threw her shoe at me."
"Then she started doing surveys,",Now she is on mTurk all day.
One day he decided to take a trip to the doctor.,The doctor was shocked at his results.
Andre was tired and fell asleep.,His food stayed in the oven cooking too long.
Finn was late for his doctor's appointment.,He sat in the waiting room and waited for his turn.
James went to the spelling bee anyway.,James lost the spelling bee in the first round.
He goes home and goes to sleep.,The next day he wakes up and checks his ticket and won!
They decided to try and use the app to motivate him.,Every five races he played on Fun Run he had to run a mile.
Susan set up her tent at the campsite.,"Then, she made dinner."
